Rank,City,AverageTCI,MaxTCI
1,Lagos,60.16,130.21
2,Riga,47.12,87.51
3,Mumbai,38.37,153.41
4,Tehran,38.20,110.12
5,London,38.16,128.50
6,Mexico City,35.94,169.08
7,Kraków,35.83,114.84
8,New York City,33.77,123.34
9,Warsaw,33.37,131.22
10,Lima,32.71,99.08
11,Bogotá,29.69,103.10
12,Jakarta,29.55,132.36
13,São Paulo,28.53,125.47
14,Cairo,28.46,115.55
15,?ód?,27.61,108.14
16,Bucuresti,26.30,114.13
17,Istanbul,25.41,169.65
18,Dublin,24.40,109.51
19,Brussels,24.22,119.05
20,Rio de Janeiro,24.03,98.27
21,Budapest,23.88,108.99
22,Bangkok,22.90,138.51
23,Moscow,21.43,129.43
24,Birmingham,21.02,101.07
25,Stockholm,20.97,158.14
26,Paris,20.39,69.77
27,Leeds,20.13,115.35
28,Athens,19.57,136.62
29,Bangalore,18.48,59.32
30,Chennai,18.17,114.54
31,New Delhi,17.94,57.99
32,Berlin,17.75,89.81
33,Riyadh,17.51,107.16
34,Saint Petersburg,17.24,100.40
35,Vienna,16.79,84.58
36,Prague,15.83,56.47
37,Vilnius,15.65,104.16
38,Barcelona,15.13,138.36
39,Santiago,13.89,105.00
40,Palermo,13.45,53.22
41,Hyderabad,12.19,56.52
42,Marseille,11.77,79.38
43,Milan,11.30,68.14
44,Frankfurt,11.21,71.51
45,Yangon,11.18,41.82
46,Lisbon,11.01,87.53
47,Cologne,10.46,46.33
48,Rome,10.40,72.47
49,Ankara,10.04,56.81
50,Tokyo,10.03,72.61
51,Casablanca,8.78,38.70
52,Karachi,7.98,133.74
53,Ahmedabad,7.58,34.99
54,Madrid,6.90,69.43
55,Zagreb,6.82,44.77
56,Seville,6.76,92.61
57,Amsterdam,6.74,37.29
58,Hong Kong,6.72,75.85
59,Hamburg,6.28,60.09
60,Sofia,6.25,39.10
61,Copenhagen,5.79,46.06
62,Munich,5.56,37.67
63,Lahore,5.42,25.14
64,Singapore,5.23,42.93
65,Helsinki,4.67,22.43
66,Turin,4.29,46.20
67,Valencia,3.40,31.97
68,Zaragoza,2.01,42.18
